trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.weight_decay,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights,config.use_cnn,config.cnn_kernel_size,config.featset,config.data_path
3fe5b_00000,0.5567218661308289,0.0,0.7553523182868958,0.7553523182868958,1.0,0.6500770449638367,103.81409978866577,True,,,6,6680a5f757324504b48f4c854540fc2d,2021-09-26_17-55-11,1632668111,637.1886396408081,205164,crimv3srv040,10.141.0.34,637.1886396408081,0,6,"0_batch_size=256,bidirectional=True,cnn_kernel_size=2,dropout_lin=0.95955,dropout_lstm=0.66782,hidden_dim=64,learning_rate=0.015628,lstm_layers=2,lstm_output_dim=35,opt_step_size=2,weight_decay=0.00043968",0.01562773282131422,256,True,2,64,35,0.6678214792175367,0.9595546083028352,2,0.0004396783408091229,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],2,raw,40min_notcentered
3fe5b_00001,0.35376840829849243,0.5817202925682068,0.855787992477417,0.8715773224830627,0.9488948583602905,0.8474088907241821,41.22599816322327,True,,,9,6cc29092a1604d94824ac8c647f3da32,2021-09-26_18-02-10,1632668530,412.33237504959106,205142,crimv3srv040,10.141.0.34,412.33237504959106,0,9,"1_batch_size=256,bidirectional=False,cnn_kernel_size=2,dropout_lin=0.067899,dropout_lstm=0.36687,hidden_dim=16,learning_rate=0.0023155,lstm_layers=1,lstm_output_dim=8,opt_step_size=8,weight_decay=1.8848e-05",0.0023155433437939766,256,False,1,16,8,0.3668718979147728,0.06789857776991781,8,1.884769353140133e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],2,raw,40min_notcentered
3fe5b_00002,0.4216650426387787,0.4695228338241577,0.8253543972969055,0.82590252161026,0.9740501642227173,0.7991539835929871,228.57542300224304,True,,,6,91c5defc5dc64aaabaad689ded9bc688,2021-09-26_18-25-23,1632669923,1386.0987477302551,205147,crimv3srv040,10.141.0.34,1386.0987477302551,0,6,"2_batch_size=32,bidirectional=False,cnn_kernel_size=6,dropout_lin=0.46628,dropout_lstm=0.1492,hidden_dim=32,learning_rate=0.015587,lstm_layers=1,lstm_output_dim=124,opt_step_size=7,weight_decay=1.3597e-05",0.015587338542655305,32,False,1,32,124,0.1492030844812159,0.4662788240415523,7,1.3597288352935886e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],6,raw,40min_notcentered
3fe5b_00003,0.4002883732318878,0.4901794195175171,0.8309949040412903,0.8284510374069214,0.9789794087409973,0.8050861358642578,212.06627345085144,True,,,20,7b322c0a6b55454bb3656a8b45447767,2021-09-26_19-37-20,1632674240,4308.828586101532,205154,crimv3srv040,10.141.0.34,4308.828586101532,0,20,"3_batch_size=64,bidirectional=False,cnn_kernel_size=3,dropout_lin=0.69412,dropout_lstm=0.019094,hidden_dim=128,learning_rate=1.705e-06,lstm_layers=2,lstm_output_dim=70,opt_step_size=1,weight_decay=5.055e-05",1.7049991035860636e-06,64,False,2,128,70,0.019094062249735644,0.6941175525528442,1,5.054950112272313e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],3,raw,40min_notcentered
3fe5b_00004,0.39928099513053894,0.48714885115623474,0.8296912312507629,0.8234555721282959,0.9859076142311096,0.8000419735908508,72.56718826293945,True,,,20,b614ab4a570a4db5b10d1ed1f36bc286,2021-09-26_20-02-16,1632675736,1482.8354918956757,205191,crimv3srv040,10.141.0.34,1482.8354918956757,0,20,"4_batch_size=128,bidirectional=True,cnn_kernel_size=3,dropout_lin=0.74252,dropout_lstm=0.6843,hidden_dim=16,learning_rate=1.4216e-05,lstm_layers=1,lstm_output_dim=78,opt_step_size=10,weight_decay=4.7456e-05",1.4216151349892652e-05,128,True,1,16,78,0.6842967918781615,0.742519841572322,10,4.745592893617029e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],3,raw,40min_notcentered
3fe5b_00005,0.3861455023288727,0.5693318843841553,0.8502006530761719,0.8739184141159058,0.9367767572402954,0.8434574604034424,292.393027305603,True,,,6,a1b0fe5319294b4ab35fb6c00319ef04,2021-09-26_20-32-09,1632677529,1786.2166583538055,205180,crimv3srv040,10.141.0.34,1786.2166583538055,0,6,"5_batch_size=32,bidirectional=False,cnn_kernel_size=4,dropout_lin=0.053519,dropout_lstm=0.47936,hidden_dim=128,learning_rate=0.00071494,lstm_layers=1,lstm_output_dim=48,opt_step_size=2,weight_decay=0.00016822",0.0007149372320186286,32,False,1,128,48,0.4793640114783012,0.05351900627520445,2,0.00016822362931051397,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],4,raw,40min_notcentered
3fe5b_00006,0.47801318764686584,0.1498561054468155,0.7625732421875,0.7608463168144226,1.0,0.6667901277542114,27.65104579925537,True,,,11,97b7ce42265d4d39844b977e5d1ebcb3,2021-09-26_20-38-04,1632677884,348.1362564563751,205150,crimv3srv040,10.141.0.34,348.1362564563751,0,11,"6_batch_size=2048,bidirectional=False,cnn_kernel_size=5,dropout_lin=0.90963,dropout_lstm=0.64103,hidden_dim=32,learning_rate=0.0015255,lstm_layers=1,lstm_output_dim=69,opt_step_size=15,weight_decay=0.00050893",0.001525491261722124,2048,False,1,32,69,0.6410345094919971,0.9096262142784862,15,0.000508928958696558,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],5,raw,40min_notcentered
3fe5b_00007,0.5266978144645691,0.0,0.7553646564483643,0.7553646564483643,1.0,0.650093674659729,221.73267316818237,True,,,20,038e9e1e20fc481684694ce0172d206d,2021-09-26_21-54-45,1632682485,4590.794160366058,205192,crimv3srv040,10.141.0.34,4590.794160366058,0,20,"7_batch_size=64,bidirectional=False,cnn_kernel_size=3,dropout_lin=0.88209,dropout_lstm=0.37575,hidden_dim=128,learning_rate=2.158e-06,lstm_layers=2,lstm_output_dim=34,opt_step_size=1,weight_decay=0.0021925",2.1579862701256047e-06,64,False,2,128,34,0.37575158521528185,0.8820949729016683,1,0.002192463312595072,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],3,raw,40min_notcentered
3fe5b_00008,0.5567945837974548,0.0,0.7553523182868958,0.7553523182868958,1.0,0.6500770449638367,82.21267700195312,True,,,8,382e7e45cba84f87bed8b40d38cff7ac,2021-09-26_22-07-09,1632683229,732.5779366493225,205169,crimv3srv040,10.141.0.34,732.5779366493225,0,8,"8_batch_size=512,bidirectional=True,cnn_kernel_size=2,dropout_lin=0.9059,dropout_lstm=0.089828,hidden_dim=64,learning_rate=0.089552,lstm_layers=2,lstm_output_dim=32,opt_step_size=1,weight_decay=0.00016249",0.08955214465307265,512,True,2,64,32,0.08982766628263339,0.905895813332515,1,0.00016249278222622778,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],2,raw,40min_notcentered
3fe5b_00009,0.3581586480140686,0.5784931182861328,0.8543888926506042,0.8723379969596863,0.9456129670143127,0.8464758992195129,59.683830976486206,True,,,7,a08e0e0701404ce286008f72eabb31d6,2021-09-26_22-14-49,1632683689,452.9804825782776,205149,crimv3srv040,10.141.0.34,452.9804825782776,0,7,"9_batch_size=512,bidirectional=True,cnn_kernel_size=3,dropout_lin=0.23303,dropout_lstm=0.96462,hidden_dim=64,learning_rate=0.00087836,lstm_layers=1,lstm_output_dim=94,opt_step_size=6,weight_decay=1.1632e-05",0.0008783568156321446,512,True,1,64,94,0.9646177606981325,0.233026182865393,6,1.1631780191133106e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],3,raw,40min_notcentered
