trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.main_weight,config.cnn_layers,config.cnn_kernel_size
47337_00000,0.5575851798057556,0.0,0.7553646564483643,0.7553646564483643,1.0,0.650093674659729,135.7127182483673,True,,,9,41159138984b4dfb9a0a1b89f1ae520a,2021-10-16_16-22-40,1634390560,1222.479783296585,133165,crimv3mgpu016,10.141.0.3,1222.479783296585,0,9,"0_batch_size=128,bidirectional=False,cnn_kernel_size=7,cnn_layers=2,dropout_lin=0.39846,dropout_lstm=0.45554,hidden_dim=32,learning_rate=0.038344,lstm_layers=2,lstm_output_dim=177,opt_step_size=4",0.038344243902662827,128,False,2,32,177,0.45554490587306873,0.3984580676069738,4,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,2,7
47337_00001,0.3818347156047821,0.5461951494216919,0.8450536727905273,0.8611546754837036,0.9476657509803772,0.8345376253128052,307.25732493400574,True,,,30,406909468070440aa0b5e6eb065f28e0,2021-10-16_18-57-11,1634399831,9264.715922832489,133121,crimv3mgpu016,10.141.0.3,9264.715922832489,0,30,"1_batch_size=64,bidirectional=True,cnn_kernel_size=5,cnn_layers=3,dropout_lin=0.2738,dropout_lstm=0.24348,hidden_dim=64,learning_rate=1.1637e-06,lstm_layers=2,lstm_output_dim=175,opt_step_size=13",1.1636841688507765e-06,64,True,2,64,175,0.24348488447680117,0.2738045909949961,13,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,3,5
47337_00002,0.4495663046836853,0.3319719135761261,0.7901986837387085,0.7830535173416138,0.999030351638794,0.7251260876655579,70.32694125175476,True,,,9,17af6d63263a4d94bd9b41c872e0a3ef,2021-10-16_19-08-39,1634400519,680.7214269638062,133140,crimv3mgpu016,10.141.0.3,680.7214269638062,0,9,"2_batch_size=1024,bidirectional=True,cnn_kernel_size=2,cnn_layers=3,dropout_lin=0.85079,dropout_lstm=0.45272,hidden_dim=8,learning_rate=0.0079535,lstm_layers=2,lstm_output_dim=60,opt_step_size=14",0.007953469608045704,1024,True,2,8,60,0.4527159109045411,0.8507880632567073,14,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,3,2
47337_00003,0.5238341689109802,0.0,0.7553523182868958,0.7553523182868958,1.0,0.6500770449638367,72.76395082473755,True,,,30,03bed9b0632d4e71803ec0910bb0a603,2021-10-16_19-44-42,1634402682,2157.1472029685974,133161,crimv3mgpu016,10.141.0.3,2157.1472029685974,0,30,"3_batch_size=2048,bidirectional=False,cnn_kernel_size=4,cnn_layers=3,dropout_lin=0.95361,dropout_lstm=0.30886,hidden_dim=8,learning_rate=0.00015534,lstm_layers=2,lstm_output_dim=241,opt_step_size=18",0.000155336270106285,2048,False,2,8,241,0.3088608306331848,0.9536064838515301,18,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,3,4
47337_00004,0.4450828731060028,0.5288699269294739,0.83349609375,0.8722103238105774,0.9133909940719604,0.8288710713386536,67.11129021644592,True,,,30,34e8b06badcf4491b596f2231aaea8a6,2021-10-16_20-18-36,1634404716,2028.569980621338,133109,crimv3mgpu016,10.141.0.3,2028.569980621338,0,30,"4_batch_size=256,bidirectional=True,cnn_kernel_size=2,cnn_layers=1,dropout_lin=0.65369,dropout_lstm=0.30708,hidden_dim=8,learning_rate=1.7368e-06,lstm_layers=2,lstm_output_dim=182,opt_step_size=9",1.7368131575781707e-06,256,True,2,8,182,0.3070849753919098,0.6536916091554638,9,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,1,2
47337_00005,0.38397514820098877,0.5185329914093018,0.8388953804969788,0.8365399837493896,0.9777728319168091,0.8167706727981567,79.10491681098938,True,,,30,f25b8eb195334c81aaec42a2d032bb12,2021-10-16_21-00-03,1634407203,2480.7947330474854,133130,crimv3mgpu016,10.141.0.3,2480.7947330474854,0,30,"5_batch_size=256,bidirectional=False,cnn_kernel_size=4,cnn_layers=2,dropout_lin=0.6907,dropout_lstm=0.25794,hidden_dim=8,learning_rate=0.00010728,lstm_layers=2,lstm_output_dim=102,opt_step_size=14",0.00010727738961836967,256,False,2,8,102,0.25794363119017516,0.6907013985755821,14,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,2,4
47337_00006,0.3590882420539856,0.5720811486244202,0.8542668223381042,0.8599578738212585,0.9640610814094543,0.8416785001754761,101.47688794136047,True,,,13,6fc881e3391b495596cecdee2e9cbabf,2021-10-16_21-22-50,1634408570,1359.1902310848236,133166,crimv3mgpu016,10.141.0.3,1359.1902310848236,0,13,"6_batch_size=512,bidirectional=True,cnn_kernel_size=4,cnn_layers=2,dropout_lin=0.44785,dropout_lstm=0.62856,hidden_dim=64,learning_rate=0.0023527,lstm_layers=1,lstm_output_dim=170,opt_step_size=1",0.002352659779636647,512,True,1,64,170,0.6285572323546843,0.44784798967539197,1,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,2,4
47337_00007,0.5428677201271057,0.0,0.7553523182868958,0.7553523182868958,1.0,0.6500770449638367,173.26599144935608,True,,,6,a913a32015ad441a9a3fbda06170b5e6,2021-10-16_21-40-31,1634409631,1054.807324886322,133125,crimv3mgpu016,10.141.0.3,1054.807324886322,0,6,"7_batch_size=256,bidirectional=False,cnn_kernel_size=9,cnn_layers=2,dropout_lin=0.40455,dropout_lstm=0.58714,hidden_dim=128,learning_rate=0.043823,lstm_layers=2,lstm_output_dim=112,opt_step_size=15",0.043823051254226114,256,False,2,128,112,0.5871362274306325,0.4045505318744198,15,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,2,9
47337_00008,0.35671594738960266,0.5695406198501587,0.8529974222183228,0.8632891178131104,0.9569282531738281,0.8419944643974304,85.14679169654846,True,,,13,70106226c27e4b4089b46abf14c8069b,2021-10-16_21-59-53,1634410793,1155.9543750286102,133158,crimv3mgpu016,10.141.0.3,1155.9543750286102,0,13,"8_batch_size=128,bidirectional=False,cnn_kernel_size=2,cnn_layers=1,dropout_lin=0.38868,dropout_lstm=0.58207,hidden_dim=16,learning_rate=0.00058604,lstm_layers=1,lstm_output_dim=201,opt_step_size=6",0.0005860405682396294,128,False,1,16,201,0.5820708539437474,0.38868173184816146,6,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,1,2
47337_00009,0.5096193552017212,0.0,0.7553646564483643,0.7553646564483643,1.0,0.650093674659729,200.3943817615509,True,,,6,e4bd76f45e8b44d2822ed4f9be69a9ff,2021-10-16_22-20-19,1634412019,1219.7322459220886,133119,crimv3mgpu016,10.141.0.3,1219.7322459220886,0,6,"9_batch_size=64,bidirectional=True,cnn_kernel_size=2,cnn_layers=1,dropout_lin=0.69777,dropout_lstm=0.92837,hidden_dim=32,learning_rate=0.0060282,lstm_layers=2,lstm_output_dim=31,opt_step_size=2",0.006028213490210318,64,True,2,32,31,0.9283683440026602,0.6977710430535733,2,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,1,2
