trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights,config.cnn_layers,config.cnn_kernel_size,config.featset,config.data_path
4c428_00000,0.32623374462127686,0.6451176404953003,0.8712721467018127,0.8867204785346985,0.9480693340301514,0.8662348389625549,130.08143424987793,True,,,8,0b2b857ed2ea421c8a52a6d72fbda062,2021-10-03_22-12-28,1633288348,1089.4523158073425,424062,crimv3srv041,10.141.0.35,1089.4523158073425,0,8,"0_batch_size=256,bidirectional=True,cnn_kernel_size=6,cnn_layers=3,dropout_lin=0.05404,dropout_lstm=0.30191,hidden_dim=32,learning_rate=0.00061822,lstm_layers=2,lstm_output_dim=176,opt_step_size=13",0.0006182180625336469,256,True,2,32,176,0.30190644442404313,0.05403965876935046,13,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],3,6,tsfresh,40min_centered
4c428_00001,0.5687823295593262,0.0,0.7440650463104248,0.7440650463104248,1.0,0.6348763108253479,333.25500440597534,True,,,7,3140f14c403d463bb44a8989e6b25e60,2021-10-03_22-50-32,1633290632,2276.6066439151764,424065,crimv3srv041,10.141.0.35,2276.6066439151764,0,7,"1_batch_size=32,bidirectional=False,cnn_kernel_size=9,cnn_layers=3,dropout_lin=0.31419,dropout_lstm=0.54205,hidden_dim=16,learning_rate=0.037718,lstm_layers=1,lstm_output_dim=144,opt_step_size=6",0.03771787000809354,32,False,1,16,144,0.5420506580297624,0.31419017436935337,6,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],3,9,tsfresh,40min_centered
4c428_00002,0.505147397518158,0.0,0.7441945672035217,0.7441945672035217,1.0,0.6350501775741577,146.67563104629517,True,,,20,3c5a139eccca4392b89b37e955c0c436,2021-10-03_23-42-50,1633293770,3129.908315181732,424060,crimv3srv041,10.141.0.35,3129.908315181732,0,20,"2_batch_size=64,bidirectional=True,cnn_kernel_size=8,cnn_layers=1,dropout_lin=0.9265,dropout_lstm=0.097541,hidden_dim=8,learning_rate=7.3418e-06,lstm_layers=1,lstm_output_dim=165,opt_step_size=11",7.341818231166048e-06,64,True,1,8,165,0.09754120432668267,0.92649619252747,11,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],1,8,tsfresh,40min_centered
4c428_00003,0.5699664950370789,0.0,0.7440650463104248,0.7440650463104248,1.0,0.6348763108253479,716.7254374027252,True,,,16,3a46b07941c94ab798ffe9b65f7feacb,2021-10-04_02-57-21,1633305441,11664.40861916542,424059,crimv3srv041,10.141.0.35,11664.40861916542,0,16,"3_batch_size=32,bidirectional=False,cnn_kernel_size=9,cnn_layers=3,dropout_lin=0.40312,dropout_lstm=0.19565,hidden_dim=128,learning_rate=0.0268,lstm_layers=2,lstm_output_dim=19,opt_step_size=8",0.026800077163461167,32,False,2,128,19,0.19564858840372013,0.4031192781665782,8,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],3,9,tsfresh,40min_centered
4c428_00004,0.3263860046863556,0.6427506804466248,0.8701043128967285,0.8886858224868774,0.9436540007591248,0.8656314015388489,87.03881597518921,True,,,20,70b07cebf5fe4eca9dec679379b3ed83,2021-10-04_03-28-39,1633307319,1866.5881235599518,424054,crimv3srv041,10.141.0.35,1866.5881235599518,0,20,"4_batch_size=128,bidirectional=False,cnn_kernel_size=9,cnn_layers=1,dropout_lin=0.14369,dropout_lstm=0.92619,hidden_dim=32,learning_rate=9.2751e-06,lstm_layers=1,lstm_output_dim=250,opt_step_size=12",9.275120089109294e-06,128,False,1,32,250,0.9261923486605705,0.14368623316127638,12,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],1,9,tsfresh,40min_centered
4c428_00005,0.34082627296447754,0.6283270120620728,0.8636048436164856,0.8907554149627686,0.9308875799179077,0.8603243827819824,273.3278248310089,True,,,18,ab42f1907596441db241e1971a0e6ae5,2021-10-04_04-49-10,1633312150,4821.472995519638,424051,crimv3srv041,10.141.0.35,4821.472995519638,0,18,"5_batch_size=128,bidirectional=True,cnn_kernel_size=6,cnn_layers=3,dropout_lin=0.27421,dropout_lstm=0.8201,hidden_dim=128,learning_rate=0.0083912,lstm_layers=1,lstm_output_dim=52,opt_step_size=5",0.008391197164994542,128,True,1,128,52,0.8200974986725783,0.2742066085638337,5,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],3,6,tsfresh,40min_centered
4c428_00006,0.32386118173599243,0.6482912302017212,0.8727778792381287,0.8854129910469055,0.9522549510002136,0.8672506809234619,492.7111933231354,True,,,20,208b494b129c4ddba2445c5d371f0446,2021-10-04_07-34-28,1633322068,9906.982976675034,424061,crimv3srv041,10.141.0.35,9906.982976675034,0,20,"6_batch_size=16,bidirectional=False,cnn_kernel_size=6,cnn_layers=2,dropout_lin=0.39018,dropout_lstm=0.65892,hidden_dim=16,learning_rate=8.3082e-06,lstm_layers=1,lstm_output_dim=199,opt_step_size=19",8.308211691765e-06,16,False,1,16,199,0.6589178039860047,0.39018216022845176,19,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],2,6,tsfresh,40min_centered
4c428_00007,0.7056378126144409,0.0,0.2561129033565521,0.0,0.0,0.10443937033414841,45.55310392379761,True,,,20,0b935e33db14444783b4a517cc9e2f7e,2021-10-04_07-50-15,1633323015,937.9958486557007,424056,crimv3srv041,10.141.0.35,937.9958486557007,0,20,"7_batch_size=2048,bidirectional=True,cnn_kernel_size=9,cnn_layers=1,dropout_lin=0.91447,dropout_lstm=0.32267,hidden_dim=16,learning_rate=3.8243e-06,lstm_layers=2,lstm_output_dim=131,opt_step_size=9",3.8242916408883285e-06,2048,True,2,16,131,0.3226697204683775,0.9144666720520228,9,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],1,9,tsfresh,40min_centered
4c428_00008,0.569420576095581,0.0,0.7440650463104248,0.7440650463104248,1.0,0.6348763108253479,334.96872639656067,True,,,7,cadf723ea8274b2a87f635711268a88b,2021-10-04_08-30-48,1633325448,2426.8061344623566,424058,crimv3srv041,10.141.0.35,2426.8061344623566,0,7,"8_batch_size=32,bidirectional=False,cnn_kernel_size=10,cnn_layers=2,dropout_lin=0.57178,dropout_lstm=0.33623,hidden_dim=32,learning_rate=0.026735,lstm_layers=2,lstm_output_dim=40,opt_step_size=11",0.026735055238840892,32,False,2,32,40,0.33622657043232373,0.5717801612132515,11,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],2,10,tsfresh,40min_centered
4c428_00009,0.38621342182159424,0.6247324347496033,0.8567677140235901,0.9048076272010803,0.9024814367294312,0.856942355632782,259.11602663993835,True,,,20,6c59afc6429b49949d476536aca6947c,2021-10-04_09-56-58,1633330618,5163.421206951141,424057,crimv3srv041,10.141.0.35,5163.421206951141,0,20,"9_batch_size=64,bidirectional=False,cnn_kernel_size=6,cnn_layers=1,dropout_lin=0.60652,dropout_lstm=0.9075,hidden_dim=128,learning_rate=0.00040044,lstm_layers=2,lstm_output_dim=211,opt_step_size=10",0.0004004433545016455,64,False,2,128,211,0.9074957968444707,0.6065192389599611,10,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],1,6,tsfresh,40min_centered
