trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,MAE_percentage_y,MSE_percentage_y,r2_percentage_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.main_weight,config.cnn_layers,config.cnn_kernel_size
2d5fc_00000,0.45216771960258484,0.49729135632514954,0.8093672394752502,0.8150680661201477,0.9474804997444153,0.7924808859825134,0.363442987203598,0.15622921288013458,0.1449429988861084,648.8939747810364,True,,,13,c25d7ea0c3d646e1aea78fa1c74103ee,2021-11-05_16-35-30,1636119330,8615.410140991211,405746,crimv3mgpu022,10.141.0.28,8615.410140991211,0,13,"0_batch_size=16,bidirectional=True,cnn_kernel_size=7,cnn_layers=0,dropout_lin=0.6075,dropout_lstm=0.35596,hidden_dim=32,learning_rate=0.013554,lstm_layers=2,lstm_output_dim=122,main_weight=0.90424,opt_step_size=15",0.013554175287480832,16,True,2,32,122,0.3559621331028292,0.6075010927782586,15,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.9042429782253361,0,7
2d5fc_00001,0.4242892861366272,0.0,0.7126599550247192,0.7126599550247192,1.0,0.5930940508842468,0.40023574233055115,0.18147367238998413,0.006777735892683268,136.14484906196594,True,,,30,c0c28fb5fb9f459e818c89d380da6fef,2021-11-05_17-45-41,1636123541,4203.38742351532,405741,crimv3mgpu022,10.141.0.28,4203.38742351532,0,30,"1_batch_size=128,bidirectional=False,cnn_kernel_size=4,cnn_layers=2,dropout_lin=0.46777,dropout_lstm=0.74181,hidden_dim=64,learning_rate=2.1701e-06,lstm_layers=2,lstm_output_dim=232,main_weight=0.82385,opt_step_size=3",2.1701233367799807e-06,128,False,2,64,232,0.7418099875212669,0.46776934867903786,3,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.823848277784811,2,4
2d5fc_00002,0.322875052690506,0.0,0.7126599550247192,0.7126599550247192,1.0,0.5930940508842468,0.3818606734275818,0.18271730840206146,-2.8768212359864265e-05,211.4582381248474,True,,,7,173cbb28cce44ad5b9fd727efa377fa8,2021-11-05_18-09-59,1636124999,1449.704833984375,405756,crimv3mgpu022,10.141.0.28,1449.704833984375,0,7,"2_batch_size=64,bidirectional=False,cnn_kernel_size=8,cnn_layers=1,dropout_lin=0.97941,dropout_lstm=0.98284,hidden_dim=64,learning_rate=0.078872,lstm_layers=2,lstm_output_dim=196,main_weight=0.3341,opt_step_size=11",0.07887160699686706,64,False,2,64,196,0.9828438425775535,0.9794141627306271,11,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.3340997414668566,1,8
2d5fc_00003,0.453993558883667,0.5070690512657166,0.7722758650779724,0.894143283367157,0.7718358039855957,0.780430018901825,0.3884384334087372,0.16939319670200348,0.07289531826972961,213.2318787574768,True,,,6,aa271c49362e49339776541009dcd964,2021-11-05_18-31-23,1636126283,1279.056768655777,405750,crimv3mgpu022,10.141.0.28,1279.056768655777,0,6,"3_batch_size=64,bidirectional=True,cnn_kernel_size=4,cnn_layers=2,dropout_lin=0.082783,dropout_lstm=0.6793,hidden_dim=8,learning_rate=0.00077411,lstm_layers=2,lstm_output_dim=52,main_weight=0.7052,opt_step_size=9",0.0007741060784596131,64,True,2,8,52,0.6793000695127936,0.08278309878641954,9,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.7051997184790035,2,4
2d5fc_00004,0.38217031955718994,0.5301130414009094,0.8202754855155945,0.8269075751304626,0.9457889795303345,0.8068048357963562,0.28258344531059265,0.11975602805614471,0.34456419944763184,232.22926902770996,True,,,14,45b471b0eccf49ac8ec0b9a32cdd4b95,2021-11-05_19-25-32,1636129532,3244.1383006572723,405753,crimv3mgpu022,10.141.0.28,3244.1383006572723,0,14,"4_batch_size=64,bidirectional=True,cnn_kernel_size=3,cnn_layers=3,dropout_lin=0.37305,dropout_lstm=0.049936,hidden_dim=8,learning_rate=0.00016602,lstm_layers=2,lstm_output_dim=134,main_weight=0.85136,opt_step_size=4",0.0001660237118464961,64,True,2,8,134,0.049935673306859885,0.37304680037176563,4,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.8513622273701282,3,3
2d5fc_00005,0.3813234567642212,0.0,0.7126599550247192,0.7126599550247192,1.0,0.5930940508842468,0.4392662048339844,0.21277064085006714,-0.16451342403888702,90.01691150665283,True,,,30,c87b697d8f07490b9f6687150e3cfb11,2021-11-05_20-10-20,1636132220,2681.602780818939,405748,crimv3mgpu022,10.141.0.28,2681.602780818939,0,30,"5_batch_size=2048,bidirectional=True,cnn_kernel_size=9,cnn_layers=3,dropout_lin=0.2947,dropout_lstm=0.042379,hidden_dim=32,learning_rate=1.5199e-06,lstm_layers=2,lstm_output_dim=239,main_weight=0.40946,opt_step_size=2",1.5199260908832292e-06,2048,True,2,32,239,0.04237898701063669,0.2947027463693418,2,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.4094637197585912,3,9
2d5fc_00006,0.13869504630565643,0.5747838616371155,0.8339487314224243,0.8539487719535828,0.9252424836158752,0.8276870846748352,0.3051144480705261,0.1219961866736412,0.3323034942150116,73.54269742965698,True,,,30,62a8d557499c46dd8b647949b341c423,2021-11-05_20-48-24,1636134504,2279.371954679489,405743,crimv3mgpu022,10.141.0.28,2279.371954679489,0,30,"6_batch_size=2048,bidirectional=False,cnn_kernel_size=9,cnn_layers=3,dropout_lin=0.10434,dropout_lstm=0.60744,hidden_dim=64,learning_rate=8.0486e-05,lstm_layers=1,lstm_output_dim=102,main_weight=0.058774,opt_step_size=6",8.04858441902694e-05,2048,False,1,64,102,0.6074386797985207,0.1043406366912355,6,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.05877419560529429,3,9
2d5fc_00007,0.47247204184532166,0.37341973185539246,0.7688112258911133,0.7582869529724121,0.9917199015617371,0.7128528952598572,0.3326517641544342,0.14471666514873505,0.20795224606990814,623.782993555069,True,,,11,c4f36fbf01064e57acd523e8a1622372,2021-11-05_22-44-06,1636141446,6935.3776087760925,405740,crimv3mgpu022,10.141.0.28,6935.3776087760925,0,11,"7_batch_size=16,bidirectional=False,cnn_kernel_size=6,cnn_layers=0,dropout_lin=0.80667,dropout_lstm=0.69597,hidden_dim=128,learning_rate=2.1075e-06,lstm_layers=1,lstm_output_dim=251,main_weight=0.98467,opt_step_size=18",2.1074860820743338e-06,16,False,1,128,251,0.6959737963954759,0.8066656495503326,18,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.9846732954323543,0,6
2d5fc_00008,0.5309554934501648,0.0,0.7126599550247192,0.7126599550247192,1.0,0.5930940508842468,0.5958834290504456,0.4270574748516083,-1.3373249769210815,100.74072360992432,True,,,30,8267ef51630349ffab2691bedc105ed1,2021-11-05_23-33-20,1636144400,2946.711140871048,405745,crimv3mgpu022,10.141.0.28,2946.711140871048,0,30,"8_batch_size=256,bidirectional=False,cnn_kernel_size=6,cnn_layers=3,dropout_lin=0.66157,dropout_lstm=0.53595,hidden_dim=8,learning_rate=1.033e-06,lstm_layers=1,lstm_output_dim=121,main_weight=0.59646,opt_step_size=19",1.0329791810683082e-06,256,False,1,8,121,0.5359527275159754,0.6615696966295398,19,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.5964576418694896,3,6
2d5fc_00009,0.3326698839664459,0.5010383129119873,0.8078077435493469,0.8303459882736206,0.9178495407104492,0.7981715798377991,0.2811986804008484,0.1240503117442131,0.3210611641407013,38.96342754364014,True,,,30,94840026d42b4fd0afa7268641617bce,2021-11-05_23-53-58,1636145638,1229.740659236908,405742,crimv3mgpu022,10.141.0.28,1229.740659236908,0,30,"9_batch_size=2048,bidirectional=True,cnn_kernel_size=8,cnn_layers=1,dropout_lin=0.16775,dropout_lstm=0.92524,hidden_dim=16,learning_rate=1.2366e-05,lstm_layers=2,lstm_output_dim=135,main_weight=0.62715,opt_step_size=4",1.236625705038358e-05,2048,True,2,16,135,0.9252392340472215,0.16774758088035824,4,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.6271482714508458,1,8
