trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,MAE_percentage_y,MSE_percentage_y,r2_percentage_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.main_weight,config.cnn_layers,config.cnn_kernel_size
2d6dc_00000,0.4002174437046051,0.06639084219932556,0.7306942343711853,0.7304525971412659,0.9992325305938721,0.6198849081993103,0.3316360116004944,0.14507251977920532,0.11728142201900482,1075.9731788635254,True,,,7,fcb4f0b65e844d048ad8c475757df4bc,2021-11-05_16-18-46,1636118326,7611.094973564148,111733,crimv3mgpu025,10.141.0.24,7611.094973564148,0,7,"0_batch_size=16,bidirectional=False,cnn_kernel_size=2,cnn_layers=3,dropout_lin=0.82665,dropout_lstm=0.78326,hidden_dim=128,learning_rate=0.00017653,lstm_layers=1,lstm_output_dim=227,main_weight=0.64379,opt_step_size=6",0.00017653285831472997,16,False,1,128,227,0.783263695447172,0.8266458618930036,6,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.6437936129109473,3,2
2d6dc_00001,0.4213763475418091,0.5060229301452637,0.8207659125328064,0.8246458172798157,0.9577387571334839,0.8026353716850281,0.341859370470047,0.15528112649917603,0.0551653653383255,559.3733348846436,True,,,6,dc3774b4afd34ad09e9cf4dd93910ef3,2021-11-05_17-18-04,1636121884,3551.566520214081,111725,crimv3mgpu025,10.141.0.24,3551.566520214081,0,6,"1_batch_size=64,bidirectional=True,cnn_kernel_size=4,cnn_layers=0,dropout_lin=0.68037,dropout_lstm=0.44279,hidden_dim=128,learning_rate=0.010305,lstm_layers=2,lstm_output_dim=171,main_weight=0.88113,opt_step_size=9",0.010305089835429018,64,True,2,128,171,0.44279022040234195,0.6803666092050483,9,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.8811346209037648,0,4
2d6dc_00002,0.11608652025461197,0.5503361225128174,0.8342875242233276,0.8446215391159058,0.9468136429786682,0.8229250311851501,0.22743329405784607,0.09179793298244476,0.44143974781036377,83.82064127922058,True,,,10,13c0a0a3c00348bb80db3b465b82b89c,2021-11-05_17-31-53,1636122713,824.2773258686066,111731,crimv3mgpu025,10.141.0.24,824.2773258686066,0,10,"2_batch_size=1024,bidirectional=True,cnn_kernel_size=10,cnn_layers=2,dropout_lin=0.34773,dropout_lstm=0.58887,hidden_dim=8,learning_rate=0.014271,lstm_layers=1,lstm_output_dim=240,main_weight=0.078237,opt_step_size=18",0.014271381812026198,1024,True,1,8,240,0.5888707442722624,0.3477341105363688,18,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.07823717060463764,2,10
2d6dc_00003,0.137889564037323,0.5922636985778809,0.8466379642486572,0.8672303557395935,0.9323147535324097,0.8408095836639404,0.18817220628261566,0.08578867465257645,0.47800412774086,158.64317965507507,True,,,21,7e9906abfa204e13b3177cd0c6f860cc,2021-11-05_18-27-05,1636126025,3306.520795106888,111727,crimv3mgpu025,10.141.0.24,3306.520795106888,0,21,"3_batch_size=256,bidirectional=False,cnn_kernel_size=10,cnn_layers=2,dropout_lin=0.05976,dropout_lstm=0.58747,hidden_dim=128,learning_rate=0.00044066,lstm_layers=1,lstm_output_dim=32,main_weight=0.17824,opt_step_size=5",0.0004406564745584582,256,False,1,128,32,0.587467315389382,0.05975950219392301,5,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.17824411437681353,2,10
2d6dc_00004,0.3823440372943878,0.0,0.728841245174408,0.728841245174408,1.0,0.6145267486572266,0.33208927512168884,0.16971418261528015,-0.03265496715903282,179.0578203201294,True,,,6,51a06c6924894e0d8459a2041749e3c4,2021-11-05_18-45-22,1636127122,1091.9936780929565,111717,crimv3mgpu025,10.141.0.24,1091.9936780929565,0,6,"4_batch_size=64,bidirectional=False,cnn_kernel_size=5,cnn_layers=0,dropout_lin=0.61981,dropout_lstm=0.98854,hidden_dim=16,learning_rate=0.0018542,lstm_layers=2,lstm_output_dim=86,main_weight=0.47376,opt_step_size=13",0.0018542472899894039,64,False,2,16,86,0.9885366989648159,0.6198086455554662,13,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.47376351317759624,0,5
2d6dc_00005,0.23144537210464478,0.43619221448898315,0.7040267586708069,0.9142049551010132,0.655421793460846,0.720411479473114,0.3996802568435669,0.17880642414093018,-0.08797832578420639,148.84702467918396,True,,,26,cfc215e3369141f09491544064318543,2021-11-05_19-57-45,1636131465,4337.759144306183,111729,crimv3mgpu025,10.141.0.24,4337.759144306183,0,26,"5_batch_size=2048,bidirectional=True,cnn_kernel_size=5,cnn_layers=3,dropout_lin=0.41991,dropout_lstm=0.77045,hidden_dim=64,learning_rate=0.0005232,lstm_layers=2,lstm_output_dim=236,main_weight=0.12037,opt_step_size=17",0.0005231956823847193,2048,True,2,64,236,0.7704510398603577,0.41991330065096344,17,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.12037256023655019,3,5
2d6dc_00006,0.389046847820282,0.5485132336616516,0.8173395395278931,0.8847972750663757,0.8615595102310181,0.819238007068634,0.2541435658931732,0.10130907595157623,0.38356760144233704,832.5830228328705,True,,,13,c690212574a44d548a790f373ba7f99d,2021-11-05_22-59-30,1636142370,10898.57455587387,111709,crimv3mgpu025,10.141.0.24,10898.57455587387,0,13,"6_batch_size=16,bidirectional=False,cnn_kernel_size=5,cnn_layers=3,dropout_lin=0.21844,dropout_lstm=0.60058,hidden_dim=32,learning_rate=0.00046824,lstm_layers=1,lstm_output_dim=237,main_weight=0.85028,opt_step_size=19",0.00046824009238015043,16,False,1,32,237,0.6005783569537365,0.21843624450262444,19,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.85028458655785,3,5
2d6dc_00007,0.445151150226593,0.0,0.728841245174408,0.728841245174408,1.0,0.6145267486572266,0.35830989480018616,0.15695257484912872,0.04499521106481552,77.35265564918518,True,,,30,80a360876e5f459d8483d4731da74b3d,2021-11-05_23-39-24,1636144764,2386.6129467487335,111714,crimv3mgpu025,10.141.0.24,2386.6129467487335,0,30,"7_batch_size=256,bidirectional=True,cnn_kernel_size=2,cnn_layers=1,dropout_lin=0.83382,dropout_lstm=0.57767,hidden_dim=8,learning_rate=2.7978e-06,lstm_layers=2,lstm_output_dim=51,main_weight=0.67671,opt_step_size=5",2.7978281753926793e-06,256,True,2,8,51,0.5776729748702527,0.8338184493707237,5,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.6767118071262797,1,2
2d6dc_00008,0.41932588815689087,0.0,0.728841245174408,0.728841245174408,1.0,0.6145267486572266,0.35323381423950195,0.16434742510318756,-7.307050964300288e-08,52.22346639633179,True,,,7,1e71548a146e4fcda8168dc1ed95c774,2021-11-05_23-46-21,1636145181,410.4725863933563,111720,crimv3mgpu025,10.141.0.24,410.4725863933563,0,7,"8_batch_size=256,bidirectional=True,cnn_kernel_size=8,cnn_layers=0,dropout_lin=0.92079,dropout_lstm=0.62108,hidden_dim=16,learning_rate=0.097389,lstm_layers=1,lstm_output_dim=84,main_weight=0.60239,opt_step_size=10",0.09738892255924102,256,True,1,16,84,0.6210798801377097,0.9207900093375163,10,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.6023944468847928,0,8
2d6dc_00009,0.3200867474079132,0.0,0.728841245174408,0.728841245174408,1.0,0.6145267486572266,0.3441200852394104,0.16505903005599976,-0.004329894203692675,1018.7641665935516,True,,,6,13e650f2b03943e586edf0524d8a945e,2021-11-06_01-27-21,1636151241,6054.541636228561,111722,crimv3mgpu025,10.141.0.24,6054.541636228561,0,6,"9_batch_size=16,bidirectional=True,cnn_kernel_size=10,cnn_layers=1,dropout_lin=0.38269,dropout_lstm=0.98985,hidden_dim=32,learning_rate=0.0079575,lstm_layers=2,lstm_output_dim=174,main_weight=0.36879,opt_step_size=18",0.0079575062030739,16,True,2,32,174,0.9898463033820866,0.38268981308498795,18,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.36878750453428166,1,10
