trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.weight_decay,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights,config.use_cnn,config.cnn_kernel_size,config.featset,config.data_path
10ac0_00000,0.43940120935440063,0.5009835362434387,0.8080622553825378,0.8298661112785339,0.9192023277282715,0.798160970211029,134.309876203537,True,,,6,949e0a4eea4e498d963a9bcc0324e8b9,2021-09-26_17-57-44,1632668264,871.8237736225128,210715,crimv3mgpu022,10.141.0.28,871.8237736225128,0,6,"0_batch_size=256,bidirectional=True,cnn_kernel_size=10,dropout_lin=0.11981,dropout_lstm=0.051417,hidden_dim=128,learning_rate=0.037914,lstm_layers=1,lstm_output_dim=78,opt_step_size=3,weight_decay=2.3738e-05",0.0379136308585339,256,True,1,128,78,0.05141667609080969,0.11980771188892225,3,2.3737741209535186e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],10,tsfresh,10min_centered
10ac0_00001,0.4650169014930725,0.44930654764175415,0.7888768911361694,0.7723605036735535,0.9979761838912964,0.7422738671302795,91.6640636920929,True,,,20,48f8a3ff2de84357ac6f3a16f1735280,2021-09-26_18-29-05,1632670145,1873.2648451328278,210714,crimv3mgpu022,10.141.0.28,1873.2648451328278,0,20,"1_batch_size=128,bidirectional=True,cnn_kernel_size=3,dropout_lin=0.88891,dropout_lstm=0.59635,hidden_dim=32,learning_rate=5.112e-05,lstm_layers=1,lstm_output_dim=91,opt_step_size=13,weight_decay=0.0029094",5.112004195051279e-05,128,True,1,32,91,0.5963472515019852,0.8889120623953963,13,0.0029094339378214723,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],3,tsfresh,10min_centered
10ac0_00002,0.600339949131012,0.0,0.7122480273246765,0.7122480273246765,1.0,0.5925511717796326,111.50190353393555,True,,,10,73a7f904e4fd40b6ac3ca8744acbeee0,2021-09-26_18-48-20,1632671300,1147.607747554779,210706,crimv3mgpu022,10.141.0.28,1147.607747554779,0,10,"2_batch_size=512,bidirectional=True,cnn_kernel_size=6,dropout_lin=0.38627,dropout_lstm=0.056955,hidden_dim=128,learning_rate=0.008697,lstm_layers=1,lstm_output_dim=17,opt_step_size=18,weight_decay=2.1126e-05",0.008696987334808583,512,True,1,128,17,0.056955033579410674,0.3862691927803604,18,2.1126084974252384e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],6,tsfresh,10min_centered
10ac0_00003,0.6000320315361023,0.0,0.7128695249557495,0.7128695249557495,1.0,0.5933703184127808,122.79611325263977,True,,,7,c18aa1b5c6ef4542858f6b1b342c28f1,2021-09-26_19-03-21,1632672201,894.116580247879,210702,crimv3mgpu022,10.141.0.28,894.116580247879,0,7,"3_batch_size=128,bidirectional=True,cnn_kernel_size=10,dropout_lin=0.87283,dropout_lstm=0.25353,hidden_dim=32,learning_rate=0.065166,lstm_layers=2,lstm_output_dim=64,opt_step_size=10,weight_decay=1.7836e-05",0.0651657908725069,128,True,2,32,64,0.253526562587982,0.8728314129537635,10,1.783602431252505e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],10,tsfresh,10min_centered
10ac0_00004,0.38958120346069336,0.6161447167396545,0.8504114747047424,0.8583229780197144,0.9463685750961304,0.8431469202041626,442.8617432117462,True,,,20,85e83f5a8e1d4f2298b1412ee2a61f59,2021-09-26_21-33-37,1632681217,9006.780928850174,210711,crimv3mgpu022,10.141.0.28,9006.780928850174,0,20,"4_batch_size=64,bidirectional=True,cnn_kernel_size=8,dropout_lin=0.67374,dropout_lstm=0.19155,hidden_dim=128,learning_rate=5.0644e-06,lstm_layers=2,lstm_output_dim=20,opt_step_size=19,weight_decay=0.0033159",5.064415926687823e-06,64,True,2,128,20,0.19155290924812718,0.6737354107028214,19,0.0033159112513121342,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],8,tsfresh,10min_centered
10ac0_00005,0.4241270422935486,0.5757063627243042,0.8329005837440491,0.8598483204841614,0.9146084785461426,0.8283141851425171,241.19094705581665,True,,,20,534cd45b0737497e9bf16b8fffe54d3f,2021-09-26_22-54-47,1632686087,4862.130546331406,210712,crimv3mgpu022,10.141.0.28,4862.130546331406,0,20,"5_batch_size=32,bidirectional=False,cnn_kernel_size=3,dropout_lin=0.2882,dropout_lstm=0.034089,hidden_dim=8,learning_rate=1.3044e-06,lstm_layers=1,lstm_output_dim=53,opt_step_size=9,weight_decay=0.00013382",1.3044154539437211e-06,32,False,1,8,53,0.03408890994693414,0.2882039008295074,9,0.00013381886408257737,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],3,tsfresh,10min_centered
10ac0_00006,0.384510338306427,0.6120046377182007,0.8488036394119263,0.8581095337867737,0.9439966678619385,0.841681182384491,80.22153186798096,True,,,20,d7f453b49f6b4da3a2d3e0b8ecc1fe13,2021-09-26_23-22-51,1632687771,1672.7385697364807,210707,crimv3mgpu022,10.141.0.28,1672.7385697364807,0,20,"6_batch_size=256,bidirectional=True,cnn_kernel_size=7,dropout_lin=0.49574,dropout_lstm=0.19085,hidden_dim=64,learning_rate=2.2748e-06,lstm_layers=1,lstm_output_dim=126,opt_step_size=11,weight_decay=0.00039798",2.274836541044495e-06,256,True,1,64,126,0.19085338262110896,0.4957380437943345,11,0.0003979753055597971,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],7,tsfresh,10min_centered
10ac0_00007,0.3636932969093323,0.6197620034217834,0.850764274597168,0.8616222143173218,0.9412734508514404,0.844487190246582,35.11510133743286,True,,,20,84b3ec581fc2478ab4575580d413e6e8,2021-09-26_23-35-34,1632688534,754.3739550113678,210713,crimv3mgpu022,10.141.0.28,754.3739550113678,0,20,"7_batch_size=1024,bidirectional=False,cnn_kernel_size=9,dropout_lin=0.35728,dropout_lstm=0.31286,hidden_dim=16,learning_rate=4.1383e-05,lstm_layers=2,lstm_output_dim=78,opt_step_size=18,weight_decay=1.0879e-05",4.138329807715406e-05,1024,False,2,16,78,0.31285731795119953,0.35727870749813273,18,1.0878669341423196e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],9,tsfresh,10min_centered
10ac0_00008,0.35196176171302795,0.6413655281066895,0.8584136962890625,0.8767056465148926,0.9325289726257324,0.8545222282409668,140.95492887496948,True,,,17,4f6fe0c925c74209893c58dd34230d3d,2021-09-27_00-15-52,1632690952,2410.821777820587,210710,crimv3mgpu022,10.141.0.28,2410.821777820587,0,17,"8_batch_size=64,bidirectional=True,cnn_kernel_size=10,dropout_lin=0.067069,dropout_lstm=0.66825,hidden_dim=8,learning_rate=0.00020583,lstm_layers=1,lstm_output_dim=38,opt_step_size=3,weight_decay=0.00010278",0.00020583489457160032,64,True,1,8,38,0.6682472082643643,0.06706897352978491,3,0.00010277757253067517,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],10,tsfresh,10min_centered
10ac0_00009,0.5997379422187805,0.0,0.7128695249557495,0.7128695249557495,1.0,0.5933703184127808,71.25729870796204,True,,,11,6ea09075abb3477a93914974b943cdce,2021-09-27_00-29-59,1632691799,839.5116493701935,210708,crimv3mgpu022,10.141.0.28,839.5116493701935,0,11,"9_batch_size=256,bidirectional=True,cnn_kernel_size=3,dropout_lin=0.98219,dropout_lstm=0.45472,hidden_dim=32,learning_rate=0.0074526,lstm_layers=2,lstm_output_dim=67,opt_step_size=2,weight_decay=2.8324e-05",0.007452561412826621,256,True,2,32,67,0.45471530287904904,0.9821909845682842,2,2.83239333499565e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],3,tsfresh,10min_centered
