trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,MAE_percentage_y,MSE_percentage_y,r2_percentage_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights,config.cnn_layers,config.cnn_kernel_size,config.featset,config.data_path
08763_00000,2.5141749382019043,0.6161099672317505,0.860520601272583,0.8825494050979614,0.9372262358665466,0.8557209372520447,73.35541534423828,6724.49609375,-3.865095853805542,99.87486839294434,True,,,20,b6c1984be2314d988da4dadf3a530665,2021-10-04_18-29-19,1633361359,2060.669638633728,397550,crimv3srv033,10.141.0.15,2060.669638633728,0,20,"0_batch_size=256,bidirectional=False,cnn_kernel_size=3,cnn_layers=3,dropout_lin=0.21047,dropout_lstm=0.61833,hidden_dim=16,learning_rate=0.00020455,lstm_layers=2,lstm_output_dim=40,opt_step_size=14",0.00020455473426169942,256,False,2,16,40,0.6183308364712818,0.21046916467652066,14,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",3,3,tsfresh,40min_centered
08763_00001,3.1593635082244873,0.5790393352508545,0.8495835661888123,0.8667353987693787,0.9428474307060242,0.8417332172393799,73.37127685546875,6727.326171875,-3.870659828186035,233.35920572280884,True,,,20,951986ce2b7c4ba5a266a899a34812ad,2021-10-04_19-52-02,1633366322,4956.743676185608,397533,crimv3srv033,10.141.0.15,4956.743676185608,0,20,"1_batch_size=64,bidirectional=True,cnn_kernel_size=2,cnn_layers=2,dropout_lin=0.31108,dropout_lstm=0.91867,hidden_dim=64,learning_rate=1.373e-06,lstm_layers=1,lstm_output_dim=237,opt_step_size=2",1.372973113238289e-06,64,True,1,64,237,0.9186731881714195,0.3110793355614748,2,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",2,2,tsfresh,40min_centered
08763_00002,3.1016266345977783,0.0,0.7440650463104248,0.7440650463104248,1.0,0.6348763108253479,73.37128448486328,6725.79833984375,-3.869826316833496,2516.323198080063,True,,,8,90d573084f284d53995b467054690e24,2021-10-05_01-28-10,1633386490,20160.484439373016,397538,crimv3srv033,10.141.0.15,20160.484439373016,0,8,"2_batch_size=16,bidirectional=True,cnn_kernel_size=2,cnn_layers=1,dropout_lin=0.53213,dropout_lstm=0.65937,hidden_dim=128,learning_rate=0.018466,lstm_layers=2,lstm_output_dim=194,opt_step_size=9",0.01846583639880011,16,True,2,128,194,0.6593733482775332,0.5321261425520112,9,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",1,2,tsfresh,40min_centered
08763_00003,3.315135955810547,0.5458729267120361,0.8408297300338745,0.8447645902633667,0.9629896283149719,0.8257330656051636,73.35541534423828,6724.49609375,-3.865095853805542,69.12563705444336,True,,,20,0fb1bc8a950f4485b0b4e6506d12b91d,2021-10-05_01-52-36,1633387956,1455.23073720932,397543,crimv3srv033,10.141.0.15,1455.23073720932,0,20,"3_batch_size=2048,bidirectional=False,cnn_kernel_size=4,cnn_layers=3,dropout_lin=0.31794,dropout_lstm=0.28734,hidden_dim=32,learning_rate=2.847e-05,lstm_layers=1,lstm_output_dim=13,opt_step_size=4",2.847040866205451e-05,2048,False,1,32,13,0.28733841976674424,0.3179377513715066,4,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",3,4,tsfresh,40min_centered
08763_00004,3.1005306243896484,0.0,0.7441945672035217,0.7441945672035217,1.0,0.6350501775741577,73.38082122802734,6727.2587890625,-3.8706109523773193,290.4595205783844,True,,,11,d7be7b58b20e4f1bbd525ac655342247,2021-10-05_02-44-30,1633391070,3104.689113378525,397541,crimv3srv033,10.141.0.15,3104.689113378525,0,11,"4_batch_size=64,bidirectional=True,cnn_kernel_size=8,cnn_layers=2,dropout_lin=0.95329,dropout_lstm=0.72364,hidden_dim=32,learning_rate=0.054334,lstm_layers=2,lstm_output_dim=159,opt_step_size=13",0.05433447176060811,64,True,2,32,159,0.7236446753690372,0.9532930969929279,13,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",2,8,tsfresh,40min_centered
08763_00005,3.103961706161499,0.0,0.7438870668411255,0.7438870668411255,1.0,0.6346374154090881,73.35541534423828,6724.49609375,-3.865095853805542,79.6691346168518,True,,,11,c8756078e43e49f390db8443f17b4f51,2021-10-05_03-00-00,1633392000,919.036928653717,397535,crimv3srv033,10.141.0.15,919.036928653717,0,11,"5_batch_size=512,bidirectional=True,cnn_kernel_size=3,cnn_layers=2,dropout_lin=0.71029,dropout_lstm=0.080157,hidden_dim=16,learning_rate=0.099506,lstm_layers=2,lstm_output_dim=230,opt_step_size=19",0.09950636490144799,512,True,2,16,230,0.08015675946518908,0.7102901894996562,19,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",2,3,tsfresh,40min_centered
08763_00006,7.989395618438721,0.0,0.7438870668411255,0.7438870668411255,1.0,0.6346374154090881,73.35541534423828,6724.49609375,-3.865095853805542,64.6407585144043,True,,,20,195e1ca5c2aa4d5c8fc2fe9ce01bd7a2,2021-10-05_03-22-35,1633393355,1347.4326057434082,397549,crimv3srv033,10.141.0.15,1347.4326057434082,0,20,"6_batch_size=1024,bidirectional=False,cnn_kernel_size=8,cnn_layers=2,dropout_lin=0.65892,dropout_lstm=0.41856,hidden_dim=8,learning_rate=3.4886e-06,lstm_layers=2,lstm_output_dim=99,opt_step_size=6",3.4886385571451746e-06,1024,False,2,8,99,0.4185593016243938,0.6589221038327019,6,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",2,8,tsfresh,40min_centered
08763_00007,2.3449320793151855,0.6451759934425354,0.8707181215286255,0.889772891998291,0.9430328011512756,0.8664423823356628,73.35541534423828,6724.49609375,-3.865095853805542,77.04649305343628,True,,,20,39578e77b7e540b2a0b5757f346f4df5,2021-10-05_03-48-48,1633394928,1565.6756067276,397546,crimv3srv033,10.141.0.15,1565.6756067276,0,20,"7_batch_size=512,bidirectional=False,cnn_kernel_size=5,cnn_layers=2,dropout_lin=0.33471,dropout_lstm=0.2901,hidden_dim=32,learning_rate=0.0015676,lstm_layers=1,lstm_output_dim=197,opt_step_size=13",0.001567582838982005,512,False,1,32,197,0.2900992922517355,0.33470572053066994,13,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",2,5,tsfresh,40min_centered
08763_00008,2.1586320400238037,0.44184431433677673,0.8083558082580566,0.7971355319023132,0.9958794713020325,0.7645087242126465,73.37128448486328,6725.79833984375,-3.869826316833496,1153.1502513885498,True,,,17,35fc0835f887460ba1ca0564e2623607,2021-10-05_08-58-42,1633413522,18585.915581703186,397528,crimv3srv033,10.141.0.15,18585.915581703186,0,17,"8_batch_size=16,bidirectional=True,cnn_kernel_size=10,cnn_layers=1,dropout_lin=0.79486,dropout_lstm=0.34811,hidden_dim=128,learning_rate=0.00042996,lstm_layers=1,lstm_output_dim=227,opt_step_size=13",0.0004299648668118107,16,True,1,128,227,0.34810627705211983,0.7948636382569911,13,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",1,10,tsfresh,40min_centered
08763_00009,2.004105806350708,0.5299549102783203,0.8356585502624512,0.8285003900527954,0.9825098514556885,0.8122217059135437,73.37128448486328,6725.79833984375,-3.869826316833496,666.4950804710388,True,,,10,f31f24023d3b47299fc0e248e4023a9c,2021-10-05_10-52-52,1633420372,6840.107082128525,397539,crimv3srv033,10.141.0.15,6840.107082128525,0,10,"9_batch_size=16,bidirectional=False,cnn_kernel_size=3,cnn_layers=3,dropout_lin=0.35278,dropout_lstm=0.25116,hidden_dim=32,learning_rate=0.0062018,lstm_layers=1,lstm_output_dim=230,opt_step_size=7",0.0062018453678895115,16,False,1,32,230,0.2511599127609152,0.3527814131522611,7,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",3,3,tsfresh,40min_centered
